Market Year,Area Harvested,Unit of Measure,Growth Rate
1960,392,(1000 HA),NA
1961,319,(1000 HA),-18.62 %
1962,448,(1000 HA),40.44 %
1963,592,(1000 HA),32.14 %
1964,599,(1000 HA),1.18 %
1965,608,(1000 HA),1.50 %
1966,544,(1000 HA),-10.53 %
1967,609,(1000 HA),11.95 %
1968,603,(1000 HA),-0.99 %
1969,631,(1000 HA),4.64 %
1970,729,(1000 HA),15.53 %
1971,874,(1000 HA),19.89 %
1972,1063,(1000 HA),21.62 %
1973,1109,(1000 HA),4.33 %
1974,1111,(1000 HA),0.18 %
1975,1055,(1000 HA),-5.04 %
1976,1164,(1000 HA),10.33 %
1977,1256,(1000 HA),7.90 %
1978,1305,(1000 HA),3.90 %
1979,1200,(1000 HA),-8.05 %
1980,1300,(1000 HA),8.33 %
1981,1250,(1000 HA),-3.85 %
1982,1169,(1000 HA),-6.48 %
1983,1200,(1000 HA),2.65 %
1984,1200,(1000 HA),0.00 %
1985,1200,(1000 HA),0.00 %
1986,1400,(1000 HA),16.67 %
1987,1000,(1000 HA),-28.57 %
1988,1600,(1000 HA),60.00 %
1989,1200,(1000 HA),-25.00 %
1990,950,(1000 HA),-20.83 %
1991,1150,(1000 HA),21.05 %
1992,1250,(1000 HA),8.70 %
1993,1000,(1000 HA),-20.00 %
1994,2500,(1000 HA),150.00 %
1995,2400,(1000 HA),-4.00 %
1996,1800,(1000 HA),-25.00 %
1997,2800,(1000 HA),55.56 %
1998,2760,(1000 HA),-1.43 %
1999,2380,(1000 HA),-13.77 %
2000,2090,(1000 HA),-12.18 %
2001,2586,(1000 HA),23.73 %
2002,2440,(1000 HA),-5.65 %
2003,2570,(1000 HA),5.33 %
2004,1290,(1000 HA),-49.81 %
2005,2243,(1000 HA),73.88 %
2006,2233,(1000 HA),-0.45 %
2007,2323,(1000 HA),4.03 %
2008,2333,(1000 HA),0.43 %
2009,2358,(1000 HA),1.07 %
2010,2016,(1000 HA),-14.50 %
2011,2452,(1000 HA),21.63 %
2012,1303,(1000 HA),-46.86 %
2013,2782,(1000 HA),113.51 %
2014,3151,(1000 HA),13.26 %
2015,1704,(1000 HA),-45.92 %
2016,3007,(1000 HA),76.47 %
2017,2142,(1000 HA),-28.77 %
2018,3000,(1000 HA),40.06 %
2019,2500,(1000 HA),-16.67 %
