Market Year,Domestic Consumption,Unit of Measure,Growth Rate
1960,226,(1000 MT),NA
1961,204,(1000 MT),-9.73 %
1962,291,(1000 MT),42.65 %
1963,374,(1000 MT),28.52 %
1964,354,(1000 MT),-5.35 %
1965,253,(1000 MT),-28.53 %
1966,253,(1000 MT),0.00 %
1967,368,(1000 MT),45.45 %
1968,266,(1000 MT),-27.72 %
1969,385,(1000 MT),44.74 %
1970,437,(1000 MT),13.51 %
1971,439,(1000 MT),0.46 %
1972,347,(1000 MT),-20.96 %
1973,264,(1000 MT),-23.92 %
1974,441,(1000 MT),67.05 %
1975,398,(1000 MT),-9.75 %
1976,471,(1000 MT),18.34 %
1977,512,(1000 MT),8.70 %
1978,555,(1000 MT),8.40 %
1979,368,(1000 MT),-33.69 %
1980,489,(1000 MT),32.88 %
1981,506,(1000 MT),3.48 %
1982,338,(1000 MT),-33.20 %
1983,314,(1000 MT),-7.10 %
1984,168,(1000 MT),-46.50 %
1985,420,(1000 MT),150.00 %
1986,285,(1000 MT),-32.14 %
1987,131,(1000 MT),-54.04 %
1988,480,(1000 MT),266.41 %
1989,250,(1000 MT),-47.92 %
1990,112,(1000 MT),-55.20 %
1991,290,(1000 MT),158.93 %
1992,375,(1000 MT),29.31 %
1993,230,(1000 MT),-38.67 %
1994,970,(1000 MT),321.74 %
1995,400,(1000 MT),-58.76 %
1996,450,(1000 MT),12.50 %
1997,650,(1000 MT),44.44 %
1998,665,(1000 MT),2.31 %
1999,500,(1000 MT),-24.81 %
2000,495,(1000 MT),-1.00 %
2001,578,(1000 MT),16.77 %
2002,581,(1000 MT),0.52 %
2003,785,(1000 MT),35.11 %
2004,280,(1000 MT),-64.33 %
2005,745,(1000 MT),166.07 %
2006,675,(1000 MT),-9.40 %
2007,796,(1000 MT),17.93 %
2008,721,(1000 MT),-9.42 %
2009,630,(1000 MT),-12.62 %
2010,471,(1000 MT),-25.24 %
2011,634,(1000 MT),34.61 %
2012,378,(1000 MT),-40.38 %
2013,1090,(1000 MT),188.36 %
2014,1245,(1000 MT),14.22 %
2015,486,(1000 MT),-60.96 %
2016,1449,(1000 MT),198.15 %
2017,954,(1000 MT),-34.16 %
2018,2000,(1000 MT),109.64 %
2019,1000,(1000 MT),-50.00 %
