Market Year,Yield,Unit of Measure,Growth Rate
1960,1,(MT/HA),NA
1961,1,(MT/HA),0.00 %
1962,1,(MT/HA),0.00 %
1963,1,(MT/HA),0.00 %
1964,1,(MT/HA),0.00 %
1965,0,(MT/HA),-100.00 %
1966,0,(MT/HA),NA
1967,1,(MT/HA),NA
1968,0,(MT/HA),-100.00 %
1969,1,(MT/HA),NA
1970,1,(MT/HA),0.00 %
1971,0,(MT/HA),-100.00 %
1972,0,(MT/HA),NA
1973,0,(MT/HA),NA
1974,0,(MT/HA),NA
1975,0,(MT/HA),NA
1976,0,(MT/HA),NA
1977,0,(MT/HA),NA
1978,0,(MT/HA),NA
1979,0,(MT/HA),NA
1980,0,(MT/HA),NA
1981,0,(MT/HA),NA
1982,0,(MT/HA),NA
1983,0,(MT/HA),NA
1984,0,(MT/HA),NA
1985,0,(MT/HA),NA
1986,0,(MT/HA),NA
1987,0,(MT/HA),NA
1988,0,(MT/HA),NA
1989,0,(MT/HA),NA
1990,0,(MT/HA),NA
1991,0,(MT/HA),NA
1992,0,(MT/HA),NA
1993,0,(MT/HA),NA
1994,0,(MT/HA),NA
1995,0,(MT/HA),NA
1996,0,(MT/HA),NA
1997,0,(MT/HA),NA
1998,0,(MT/HA),NA
1999,0,(MT/HA),NA
2000,0,(MT/HA),NA
2001,0,(MT/HA),NA
2002,0,(MT/HA),NA
2003,0,(MT/HA),NA
2004,0,(MT/HA),NA
2005,0,(MT/HA),NA
2006,0,(MT/HA),NA
2007,0,(MT/HA),NA
2008,0,(MT/HA),NA
2009,0,(MT/HA),NA
2010,0,(MT/HA),NA
2011,0,(MT/HA),NA
2012,0,(MT/HA),NA
2013,0,(MT/HA),NA
2014,0,(MT/HA),NA
2015,0,(MT/HA),NA
2016,0,(MT/HA),NA
2017,0,(MT/HA),NA
2018,1,(MT/HA),NA
2019,0,(MT/HA),-100.00 %
