Market Year,Beginning Stocks,Unit of Measure,Growth Rate
1960,0,(1000 MT),NA
1961,0,(1000 MT),NA
1962,0,(1000 MT),NA
1963,0,(1000 MT),NA
1964,0,(1000 MT),NA
1965,0,(1000 MT),NA
1966,0,(1000 MT),NA
1967,0,(1000 MT),NA
1968,0,(1000 MT),NA
1969,0,(1000 MT),NA
1970,0,(1000 MT),NA
1971,0,(1000 MT),NA
1972,0,(1000 MT),NA
1973,0,(1000 MT),NA
1974,0,(1000 MT),NA
1975,0,(1000 MT),NA
1976,0,(1000 MT),NA
1977,0,(1000 MT),NA
1978,117,(1000 MT),NA
1979,279,(1000 MT),138.46 %
1980,412,(1000 MT),47.67 %
1981,300,(1000 MT),-27.18 %
1982,1327,(1000 MT),342.33 %
1983,857,(1000 MT),-35.42 %
1984,400,(1000 MT),-53.33 %
1985,0,(1000 MT),-100.00 %
1986,1295,(1000 MT),NA
1987,1500,(1000 MT),15.83 %
1988,200,(1000 MT),-86.67 %
1989,1400,(1000 MT),600.00 %
1990,600,(1000 MT),-57.14 %
1991,200,(1000 MT),-66.67 %
1992,800,(1000 MT),300.00 %
1993,1254,(1000 MT),56.75 %
1994,350,(1000 MT),-72.09 %
1995,774,(1000 MT),121.14 %
1996,361,(1000 MT),-53.36 %
1997,1020,(1000 MT),182.55 %
1998,430,(1000 MT),-57.84 %
1999,1393,(1000 MT),223.95 %
2000,178,(1000 MT),-87.22 %
2001,338,(1000 MT),89.89 %
2002,828,(1000 MT),144.97 %
2003,263,(1000 MT),-68.24 %
2004,958,(1000 MT),264.26 %
2005,313,(1000 MT),-67.33 %
2006,547,(1000 MT),74.76 %
2007,624,(1000 MT),14.08 %
2008,873,(1000 MT),39.90 %
2009,537,(1000 MT),-38.49 %
2010,624,(1000 MT),16.20 %
2011,324,(1000 MT),-48.08 %
2012,534,(1000 MT),64.81 %
2013,288,(1000 MT),-46.07 %
2014,332,(1000 MT),15.28 %
2015,718,(1000 MT),116.27 %
2016,557,(1000 MT),-22.42 %
2017,993,(1000 MT),78.28 %
2018,386,(1000 MT),-61.13 %
2019,549,(1000 MT),42.23 %
