Market Year,Ending Stocks,Unit of Measure,Growth Rate
1960,0,(1000 MT),NA
1961,0,(1000 MT),NA
1962,0,(1000 MT),NA
1963,0,(1000 MT),NA
1964,0,(1000 MT),NA
1965,0,(1000 MT),NA
1966,0,(1000 MT),NA
1967,0,(1000 MT),NA
1968,0,(1000 MT),NA
1969,0,(1000 MT),NA
1970,0,(1000 MT),NA
1971,0,(1000 MT),NA
1972,0,(1000 MT),NA
1973,0,(1000 MT),NA
1974,0,(1000 MT),NA
1975,0,(1000 MT),NA
1976,0,(1000 MT),NA
1977,117,(1000 MT),NA
1978,279,(1000 MT),138.46 %
1979,412,(1000 MT),47.67 %
1980,300,(1000 MT),-27.18 %
1981,1327,(1000 MT),342.33 %
1982,857,(1000 MT),-35.42 %
1983,400,(1000 MT),-53.33 %
1984,0,(1000 MT),-100.00 %
1985,1295,(1000 MT),NA
1986,1500,(1000 MT),15.83 %
1987,200,(1000 MT),-86.67 %
1988,1400,(1000 MT),600.00 %
1989,600,(1000 MT),-57.14 %
1990,200,(1000 MT),-66.67 %
1991,800,(1000 MT),300.00 %
1992,1254,(1000 MT),56.75 %
1993,350,(1000 MT),-72.09 %
1994,774,(1000 MT),121.14 %
1995,361,(1000 MT),-53.36 %
1996,1020,(1000 MT),182.55 %
1997,430,(1000 MT),-57.84 %
1998,1393,(1000 MT),223.95 %
1999,178,(1000 MT),-87.22 %
2000,338,(1000 MT),89.89 %
2001,828,(1000 MT),144.97 %
2002,263,(1000 MT),-68.24 %
2003,958,(1000 MT),264.26 %
2004,313,(1000 MT),-67.33 %
2005,547,(1000 MT),74.76 %
2006,624,(1000 MT),14.08 %
2007,873,(1000 MT),39.90 %
2008,537,(1000 MT),-38.49 %
2009,624,(1000 MT),16.20 %
2010,324,(1000 MT),-48.08 %
2011,534,(1000 MT),64.81 %
2012,288,(1000 MT),-46.07 %
2013,332,(1000 MT),15.28 %
2014,718,(1000 MT),116.27 %
2015,557,(1000 MT),-22.42 %
2016,993,(1000 MT),78.28 %
2017,386,(1000 MT),-61.13 %
2018,549,(1000 MT),42.23 %
2019,294,(1000 MT),-46.45 %
