Market Year,Imports,Unit of Measure,Growth Rate
1960,0,(1000 MT),NA
1961,0,(1000 MT),NA
1962,0,(1000 MT),NA
1963,0,(1000 MT),NA
1964,0,(1000 MT),NA
1965,0,(1000 MT),NA
1966,0,(1000 MT),NA
1967,52,(1000 MT),NA
1968,0,(1000 MT),-100.00 %
1969,0,(1000 MT),NA
1970,0,(1000 MT),NA
1971,0,(1000 MT),NA
1972,0,(1000 MT),NA
1973,0,(1000 MT),NA
1974,0,(1000 MT),NA
1975,0,(1000 MT),NA
1976,0,(1000 MT),NA
1977,0,(1000 MT),NA
1978,0,(1000 MT),NA
1979,0,(1000 MT),NA
1980,0,(1000 MT),NA
1981,0,(1000 MT),NA
1982,0,(1000 MT),NA
1983,0,(1000 MT),NA
1984,575,(1000 MT),NA
1985,0,(1000 MT),-100.00 %
1986,0,(1000 MT),NA
1987,10,(1000 MT),NA
1988,15,(1000 MT),50.00 %
1989,0,(1000 MT),-100.00 %
1990,163,(1000 MT),NA
1991,131,(1000 MT),-19.63 %
1992,15,(1000 MT),-88.55 %
1993,48,(1000 MT),220.00 %
1994,12,(1000 MT),-75.00 %
1995,0,(1000 MT),-100.00 %
1996,8,(1000 MT),NA
1997,0,(1000 MT),-100.00 %
1998,0,(1000 MT),NA
1999,0,(1000 MT),NA
2000,10,(1000 MT),NA
2001,25,(1000 MT),150.00 %
2002,15,(1000 MT),-40.00 %
2003,15,(1000 MT),0.00 %
2004,160,(1000 MT),966.67 %
2005,211,(1000 MT),31.88 %
2006,300,(1000 MT),42.18 %
2007,300,(1000 MT),0.00 %
2008,300,(1000 MT),0.00 %
2009,400,(1000 MT),33.33 %
2010,200,(1000 MT),-50.00 %
2011,125,(1000 MT),-37.50 %
2012,175,(1000 MT),40.00 %
2013,75,(1000 MT),-57.14 %
2014,120,(1000 MT),60.00 %
2015,200,(1000 MT),66.67 %
2016,120,(1000 MT),-40.00 %
2017,150,(1000 MT),25.00 %
2018,160,(1000 MT),6.67 %
2019,200,(1000 MT),25.00 %
