Market Year,Total Supply,Unit of Measure,Growth Rate
1960,1051,(1000 MT),NA
1961,1434,(1000 MT),36.44 %
1962,1266,(1000 MT),-11.72 %
1963,1348,(1000 MT),6.48 %
1964,1138,(1000 MT),-15.58 %
1965,1094,(1000 MT),-3.87 %
1966,851,(1000 MT),-22.21 %
1967,2032,(1000 MT),138.78 %
1968,870,(1000 MT),-57.19 %
1969,1451,(1000 MT),66.78 %
1970,1534,(1000 MT),5.72 %
1971,1590,(1000 MT),3.65 %
1972,1343,(1000 MT),-15.53 %
1973,1625,(1000 MT),21.00 %
1974,1744,(1000 MT),7.32 %
1975,2026,(1000 MT),16.17 %
1976,1800,(1000 MT),-11.15 %
1977,2017,(1000 MT),12.06 %
1978,2204,(1000 MT),9.27 %
1979,2687,(1000 MT),21.91 %
1980,2480,(1000 MT),-7.70 %
1981,3577,(1000 MT),44.23 %
1982,3265,(1000 MT),-8.72 %
1983,2663,(1000 MT),-18.44 %
1984,2085,(1000 MT),-21.70 %
1985,3600,(1000 MT),72.66 %
1986,4695,(1000 MT),30.42 %
1987,2880,(1000 MT),-38.66 %
1988,4615,(1000 MT),60.24 %
1989,3200,(1000 MT),-30.66 %
1990,2263,(1000 MT),-29.28 %
1991,3691,(1000 MT),63.10 %
1992,4865,(1000 MT),31.81 %
1993,3702,(1000 MT),-23.91 %
1994,4062,(1000 MT),9.72 %
1995,3224,(1000 MT),-20.63 %
1996,4569,(1000 MT),41.72 %
1997,3940,(1000 MT),-13.77 %
1998,5260,(1000 MT),33.50 %
1999,3828,(1000 MT),-27.22 %
2000,2948,(1000 MT),-22.99 %
2001,4833,(1000 MT),63.94 %
2002,3773,(1000 MT),-21.93 %
2003,5468,(1000 MT),44.92 %
2004,3818,(1000 MT),-30.18 %
2005,5526,(1000 MT),44.74 %
2006,5174,(1000 MT),-6.37 %
2007,5923,(1000 MT),14.48 %
2008,5042,(1000 MT),-14.87 %
2009,5129,(1000 MT),1.73 %
2010,3454,(1000 MT),-32.66 %
2011,5054,(1000 MT),46.32 %
2012,2958,(1000 MT),-41.47 %
2013,4887,(1000 MT),65.21 %
2014,6733,(1000 MT),37.77 %
2015,3662,(1000 MT),-45.61 %
2016,7143,(1000 MT),95.06 %
2017,4886,(1000 MT),-31.60 %
2018,5499,(1000 MT),12.55 %
2019,4749,(1000 MT),-13.64 %
