Market Year,Yield,Unit of Measure,Growth Rate
1960,1,(MT/HA),NA
1961,1,(MT/HA),0.00 %
1962,1,(MT/HA),0.00 %
1963,1,(MT/HA),0.00 %
1964,1,(MT/HA),0.00 %
1965,1,(MT/HA),0.00 %
1966,1,(MT/HA),0.00 %
1967,1,(MT/HA),0.00 %
1968,1,(MT/HA),0.00 %
1969,1,(MT/HA),0.00 %
1970,1,(MT/HA),0.00 %
1971,1,(MT/HA),0.00 %
1972,1,(MT/HA),0.00 %
1973,1,(MT/HA),0.00 %
1974,1,(MT/HA),0.00 %
1975,1,(MT/HA),0.00 %
1976,1,(MT/HA),0.00 %
1977,1,(MT/HA),0.00 %
1978,1,(MT/HA),0.00 %
1979,1,(MT/HA),0.00 %
1980,1,(MT/HA),0.00 %
1981,1,(MT/HA),0.00 %
1982,1,(MT/HA),0.00 %
1983,0,(MT/HA),-100.00 %
1984,0,(MT/HA),NA
1985,1,(MT/HA),NA
1986,1,(MT/HA),0.00 %
1987,0,(MT/HA),-100.00 %
1988,1,(MT/HA),NA
1989,0,(MT/HA),-100.00 %
1990,0,(MT/HA),NA
1991,1,(MT/HA),NA
1992,1,(MT/HA),0.00 %
1993,1,(MT/HA),0.00 %
1994,1,(MT/HA),0.00 %
1995,0,(MT/HA),-100.00 %
1996,1,(MT/HA),NA
1997,1,(MT/HA),0.00 %
1998,1,(MT/HA),0.00 %
1999,1,(MT/HA),0.00 %
2000,1,(MT/HA),0.00 %
2001,1,(MT/HA),0.00 %
2002,1,(MT/HA),0.00 %
2003,1,(MT/HA),0.00 %
2004,1,(MT/HA),0.00 %
2005,1,(MT/HA),0.00 %
2006,1,(MT/HA),0.00 %
2007,1,(MT/HA),0.00 %
2008,1,(MT/HA),0.00 %
2009,1,(MT/HA),0.00 %
2010,0,(MT/HA),-100.00 %
2011,1,(MT/HA),NA
2012,1,(MT/HA),0.00 %
2013,1,(MT/HA),0.00 %
2014,1,(MT/HA),0.00 %
2015,1,(MT/HA),0.00 %
2016,1,(MT/HA),0.00 %
2017,1,(MT/HA),0.00 %
2018,1,(MT/HA),0.00 %
2019,1,(MT/HA),0.00 %
