Market Year,Area Harvested,Unit of Measure,Growth Rate
1960,16,(1000 HA),NA
1961,16,(1000 HA),0.00 %
1962,23,(1000 HA),43.75 %
1963,24,(1000 HA),4.35 %
1964,57,(1000 HA),137.50 %
1965,58,(1000 HA),1.75 %
1966,73,(1000 HA),25.86 %
1967,89,(1000 HA),21.92 %
1968,110,(1000 HA),23.60 %
1969,122,(1000 HA),10.91 %
1970,121,(1000 HA),-0.82 %
1971,121,(1000 HA),0.00 %
1972,101,(1000 HA),-16.53 %
1973,176,(1000 HA),74.26 %
1974,251,(1000 HA),42.61 %
1975,300,(1000 HA),19.52 %
1976,268,(1000 HA),-10.67 %
1977,236,(1000 HA),-11.94 %
1978,248,(1000 HA),5.08 %
1979,192,(1000 HA),-22.58 %
1980,184,(1000 HA),-4.17 %
1981,156,(1000 HA),-15.22 %
1982,130,(1000 HA),-16.67 %
1983,147,(1000 HA),13.08 %
1984,50,(1000 HA),-65.99 %
1985,160,(1000 HA),220.00 %
1986,120,(1000 HA),-25.00 %
1987,150,(1000 HA),25.00 %
1988,200,(1000 HA),33.33 %
1989,275,(1000 HA),37.50 %
1990,350,(1000 HA),27.27 %
1991,300,(1000 HA),-14.29 %
1992,300,(1000 HA),0.00 %
1993,328,(1000 HA),9.33 %
1994,357,(1000 HA),8.84 %
1995,280,(1000 HA),-21.57 %
1996,315,(1000 HA),12.50 %
1997,330,(1000 HA),4.76 %
1998,277,(1000 HA),-16.06 %
1999,140,(1000 HA),-49.46 %
2000,90,(1000 HA),-35.71 %
2001,140,(1000 HA),55.56 %
2002,100,(1000 HA),-28.57 %
2003,110,(1000 HA),10.00 %
2004,170,(1000 HA),54.55 %
2005,180,(1000 HA),5.88 %
2006,175,(1000 HA),-2.78 %
2007,284,(1000 HA),62.29 %
2008,302,(1000 HA),6.34 %
2009,400,(1000 HA),32.45 %
2010,225,(1000 HA),-43.75 %
2011,183,(1000 HA),-18.67 %
2012,187,(1000 HA),2.19 %
2013,136,(1000 HA),-27.27 %
2014,223,(1000 HA),63.97 %
2015,226,(1000 HA),1.35 %
2016,217,(1000 HA),-3.98 %
2017,168,(1000 HA),-22.58 %
2018,200,(1000 HA),19.05 %
2019,200,(1000 HA),0.00 %
