Market Year,Domestic Consumption,Unit of Measure,Growth Rate
1960,124,(1000 MT),NA
1961,107,(1000 MT),-13.71 %
1962,156,(1000 MT),45.79 %
1963,136,(1000 MT),-12.82 %
1964,209,(1000 MT),53.68 %
1965,223,(1000 MT),6.70 %
1966,273,(1000 MT),22.42 %
1967,191,(1000 MT),-30.04 %
1968,229,(1000 MT),19.90 %
1969,247,(1000 MT),7.86 %
1970,422,(1000 MT),70.85 %
1971,320,(1000 MT),-24.17 %
1972,317,(1000 MT),-0.94 %
1973,466,(1000 MT),47.00 %
1974,373,(1000 MT),-19.96 %
1975,474,(1000 MT),27.08 %
1976,520,(1000 MT),9.70 %
1977,491,(1000 MT),-5.58 %
1978,433,(1000 MT),-11.81 %
1979,533,(1000 MT),23.09 %
1980,550,(1000 MT),3.19 %
1981,565,(1000 MT),2.73 %
1982,589,(1000 MT),4.25 %
1983,791,(1000 MT),34.30 %
1984,679,(1000 MT),-14.16 %
1985,798,(1000 MT),17.53 %
1986,803,(1000 MT),0.63 %
1987,815,(1000 MT),1.49 %
1988,752,(1000 MT),-7.73 %
1989,917,(1000 MT),21.94 %
1990,1468,(1000 MT),60.09 %
1991,1422,(1000 MT),-3.13 %
1992,1080,(1000 MT),-24.05 %
1993,987,(1000 MT),-8.61 %
1994,975,(1000 MT),-1.22 %
1995,847,(1000 MT),-13.13 %
1996,1168,(1000 MT),37.90 %
1997,1184,(1000 MT),1.37 %
1998,1150,(1000 MT),-2.87 %
1999,962,(1000 MT),-16.35 %
2000,1135,(1000 MT),17.98 %
2001,1237,(1000 MT),8.99 %
2002,1110,(1000 MT),-10.27 %
2003,1360,(1000 MT),22.52 %
2004,1682,(1000 MT),23.68 %
2005,1894,(1000 MT),12.60 %
2006,2042,(1000 MT),7.81 %
2007,1863,(1000 MT),-8.77 %
2008,2049,(1000 MT),9.98 %
2009,2429,(1000 MT),18.55 %
2010,2148,(1000 MT),-11.57 %
2011,2384,(1000 MT),10.99 %
2012,2075,(1000 MT),-12.96 %
2013,2825,(1000 MT),36.14 %
2014,3125,(1000 MT),10.62 %
2015,2950,(1000 MT),-5.60 %
2016,3000,(1000 MT),1.69 %
2017,3050,(1000 MT),1.67 %
2018,2900,(1000 MT),-4.92 %
2019,3000,(1000 MT),3.45 %
