Market Year,Production,Unit of Measure,Growth Rate
1960,25,(1000 MT),NA
1961,30,(1000 MT),20.00 %
1962,30,(1000 MT),0.00 %
1963,38,(1000 MT),26.67 %
1964,55,(1000 MT),44.74 %
1965,69,(1000 MT),25.45 %
1966,78,(1000 MT),13.04 %
1967,87,(1000 MT),11.54 %
1968,123,(1000 MT),41.38 %
1969,115,(1000 MT),-6.50 %
1970,162,(1000 MT),40.87 %
1971,156,(1000 MT),-3.70 %
1972,149,(1000 MT),-4.49 %
1973,235,(1000 MT),57.72 %
1974,246,(1000 MT),4.68 %
1975,264,(1000 MT),7.32 %
1976,294,(1000 MT),11.36 %
1977,317,(1000 MT),7.82 %
1978,140,(1000 MT),-55.84 %
1979,233,(1000 MT),66.43 %
1980,218,(1000 MT),-6.44 %
1981,142,(1000 MT),-34.86 %
1982,141,(1000 MT),-0.70 %
1983,172,(1000 MT),21.99 %
1984,79,(1000 MT),-54.07 %
1985,200,(1000 MT),153.16 %
1986,157,(1000 MT),-21.50 %
1987,140,(1000 MT),-10.83 %
1988,250,(1000 MT),78.57 %
1989,410,(1000 MT),64.00 %
1990,500,(1000 MT),21.95 %
1991,831,(1000 MT),66.20 %
1992,875,(1000 MT),5.29 %
1993,450,(1000 MT),-48.57 %
1994,475,(1000 MT),5.56 %
1995,450,(1000 MT),-5.26 %
1996,550,(1000 MT),22.22 %
1997,650,(1000 MT),18.18 %
1998,535,(1000 MT),-17.69 %
1999,170,(1000 MT),-68.22 %
2000,215,(1000 MT),26.47 %
2001,335,(1000 MT),55.81 %
2002,250,(1000 MT),-25.37 %
2003,365,(1000 MT),46.00 %
2004,360,(1000 MT),-1.37 %
2005,435,(1000 MT),20.83 %
2006,669,(1000 MT),53.79 %
2007,803,(1000 MT),20.03 %
2008,587,(1000 MT),-26.90 %
2009,642,(1000 MT),9.37 %
2010,403,(1000 MT),-37.23 %
2011,324,(1000 MT),-19.60 %
2012,324,(1000 MT),0.00 %
2013,265,(1000 MT),-18.21 %
2014,473,(1000 MT),78.49 %
2015,779,(1000 MT),64.69 %
2016,516,(1000 MT),-33.76 %
2017,463,(1000 MT),-10.27 %
2018,595,(1000 MT),28.51 %
2019,600,(1000 MT),0.84 %
