Market Year,Total Distribution,Unit of Measure,Growth Rate
1960,124,(1000 MT),NA
1961,107,(1000 MT),-13.71 %
1962,156,(1000 MT),45.79 %
1963,136,(1000 MT),-12.82 %
1964,209,(1000 MT),53.68 %
1965,223,(1000 MT),6.70 %
1966,273,(1000 MT),22.42 %
1967,191,(1000 MT),-30.04 %
1968,229,(1000 MT),19.90 %
1969,247,(1000 MT),7.86 %
1970,422,(1000 MT),70.85 %
1971,411,(1000 MT),-2.61 %
1972,342,(1000 MT),-16.79 %
1973,516,(1000 MT),50.88 %
1974,410,(1000 MT),-20.54 %
1975,501,(1000 MT),22.20 %
1976,550,(1000 MT),9.78 %
1977,511,(1000 MT),-7.09 %
1978,453,(1000 MT),-11.35 %
1979,593,(1000 MT),30.91 %
1980,670,(1000 MT),12.98 %
1981,625,(1000 MT),-6.72 %
1982,649,(1000 MT),3.84 %
1983,791,(1000 MT),21.88 %
1984,679,(1000 MT),-14.16 %
1985,798,(1000 MT),17.53 %
1986,803,(1000 MT),0.63 %
1987,815,(1000 MT),1.49 %
1988,752,(1000 MT),-7.73 %
1989,917,(1000 MT),21.94 %
1990,1468,(1000 MT),60.09 %
1991,1422,(1000 MT),-3.13 %
1992,1080,(1000 MT),-24.05 %
1993,987,(1000 MT),-8.61 %
1994,975,(1000 MT),-1.22 %
1995,847,(1000 MT),-13.13 %
1996,1168,(1000 MT),37.90 %
1997,1184,(1000 MT),1.37 %
1998,1150,(1000 MT),-2.87 %
1999,962,(1000 MT),-16.35 %
2000,1135,(1000 MT),17.98 %
2001,1237,(1000 MT),8.99 %
2002,1110,(1000 MT),-10.27 %
2003,1360,(1000 MT),22.52 %
2004,1882,(1000 MT),38.38 %
2005,2244,(1000 MT),19.23 %
2006,2192,(1000 MT),-2.32 %
2007,1963,(1000 MT),-10.45 %
2008,2349,(1000 MT),19.66 %
2009,2729,(1000 MT),16.18 %
2010,2198,(1000 MT),-19.46 %
2011,2734,(1000 MT),24.39 %
2012,2467,(1000 MT),-9.77 %
2013,3321,(1000 MT),34.62 %
2014,3597,(1000 MT),8.31 %
2015,3273,(1000 MT),-9.01 %
2016,3297,(1000 MT),0.73 %
2017,3340,(1000 MT),1.30 %
2018,3107,(1000 MT),-6.98 %
2019,3307,(1000 MT),6.44 %
