Month,Price,Change
Jan 1990,167.92,-
Feb 1990,160.94,-4.16 %
Mar 1990,156.53,-2.74 %
Apr 1990,159.47,1.88 %
May 1990,149.18,-6.45 %
Jun 1990,135.58,-9.12 %
Jul 1990,124.93,-7.86 %
Aug 1990,116.84,-6.48 %
Sep 1990,114.27,-2.20 %
Oct 1990,114.64,0.32 %
Nov 1990,112.80,-1.61 %
Dec 1990,113.17,0.33 %
Jan 1991,111.33,-1.63 %
Feb 1991,113.91,2.32 %
Mar 1991,119.42,4.84 %
Apr 1991,120.89,1.23 %
May 1991,121.99,0.91 %
Jun 1991,120.15,-1.51 %
Jul 1991,118.31,-1.53 %
Aug 1991,125.30,5.91 %
Sep 1991,135.22,7.92 %
Oct 1991,146.97,8.69 %
Nov 1991,149.55,1.76 %
Dec 1991,160.94,7.62 %
Jan 1992,170.12,5.70 %
Feb 1992,177.10,4.10 %
Mar 1992,169.39,-4.35 %
Apr 1992,159.83,-5.64 %
May 1992,149.55,-6.43 %
Jun 1992,148.81,-0.49 %
Jul 1992,136.32,-8.39 %
Aug 1992,128.24,-5.93 %
Sep 1992,138.89,8.30 %
Oct 1992,140.73,1.32 %
Nov 1992,147.71,4.96 %
Dec 1992,147.71,0.00 %
Jan 1993,155.79,5.47 %
Feb 1993,148.81,-4.48 %
Mar 1993,148.08,-0.49 %
Apr 1993,141.83,-4.22 %
May 1993,136.69,-3.62 %
Jun 1993,121.99,-10.75 %
Jul 1993,127.50,4.52 %
Aug 1993,129.71,1.73 %
Sep 1993,131.17,1.13 %
Oct 1993,135.95,3.64 %
Nov 1993,146.61,7.84 %
Dec 1993,158.73,8.27 %
Jan 1994,153.22,-3.47 %
Feb 1994,146.97,-4.08 %
Mar 1994,141.10,-3.99 %
Apr 1994,140.36,-0.52 %
May 1994,139.99,-0.26 %
Jun 1994,139.26,-0.52 %
Jul 1994,137.42,-1.32 %
Aug 1994,145.87,6.15 %
Sep 1994,158.73,8.82 %
Oct 1994,167.18,5.32 %
Nov 1994,162.04,-3.07 %
Dec 1994,164.61,1.59 %
Jan 1995,156.16,-5.13 %
Feb 1995,154.32,-1.18 %
