Market_Year,Harvested_Area,Beginning_Stock,Ending_Stock,Export,Import,Production,Yield,Total_Supply,Consumption
1960,1288,0,0,137,0,1051,1,1051,914
1961,1477,0,0,87,0,1434,1,1434,1347
1962,1477,0,0,72,0,1266,1,1266,1194
1963,1377,0,0,86,0,1348,1,1348,1262
1964,1326,0,0,74,0,1138,1,1138,1064
1965,1344,0,0,126,0,1094,1,1094,968
1966,1337,0,0,28,0,851,1,851,823
1967,1974,0,0,90,52,1980,1,2032,1942
1968,1186,0,0,38,0,870,1,870,832
1969,1777,0,0,2,0,1451,1,1451,1449
1970,2055,0,0,18,0,1534,1,1534,1516
1971,1983,0,0,60,0,1590,1,1590,1530
1972,1661,0,0,102,0,1343,1,1343,1241
1973,2187,0,0,98,0,1625,1,1625,1527
1974,2462,0,0,48,0,1744,1,1744,1696
1975,2595,0,0,95,0,2026,1,2026,1931
1976,2640,0,0,133,0,1800,1,1800,1667
1977,2798,0,117,300,0,2017,1,2017,1600
1978,2798,117,279,300,0,2087,1,2204,1625
1979,3025,279,412,600,0,2408,1,2687,1675
1980,2921,412,300,330,0,2068,1,2480,1850
1981,3906,300,1327,250,0,3277,1,3577,2000
1982,3639,1327,857,390,0,1938,1,3265,2018
1983,3688,857,400,100,0,1806,0,2663,2163
1984,3427,400,0,0,575,1110,0,2085,2085
1985,5625,0,1295,170,0,3600,1,3600,2135
1986,4800,1295,1500,622,0,3400,1,4695,2573
1987,3000,1500,200,300,10,1370,0,2880,2380
1988,5300,200,1400,300,15,4400,1,4615,2915
1989,4000,1400,600,107,0,1800,0,3200,2493
1990,3000,600,200,2,163,1500,0,2263,2061
1991,4200,200,800,0,131,3360,1,3691,2891
1992,6200,800,1254,520,15,4050,1,4865,3091
1993,4700,1254,350,263,48,2400,1,3702,3089
1994,6400,350,774,260,12,3700,1,4062,3028
1995,5000,774,361,75,0,2450,0,3224,2788
1996,6600,361,1020,49,8,4200,1,4569,3500
1997,5330,1020,430,10,0,2920,1,3940,3500
1998,6310,430,1393,167,0,4830,1,5260,3700
1999,4630,1393,178,150,0,2435,1,3828,3500
2000,4540,178,338,10,10,2760,1,2948,2600
2001,5925,338,828,5,25,4470,1,4833,4000
2002,5000,828,263,10,15,2930,1,3773,3500
2003,7000,263,958,10,15,5190,1,5468,4500
2004,3820,958,313,5,160,2700,1,3818,3500
2005,9865,313,547,2,211,5002,1,5526,4977
2006,6485,547,624,50,300,4327,1,5174,4500
2007,6523,624,873,150,300,4999,1,5923,4900
2008,6619,873,537,5,300,3869,1,5042,4500
2009,6653,537,624,5,400,4192,1,5129,4500
2010,5613,624,324,30,200,2630,0,3454,3100
2011,7257,324,534,20,125,4605,1,5054,4500
2012,4103,534,288,20,175,2249,1,2958,2650
2013,7080,288,332,5,75,4524,1,4887,4550
2014,8378,332,718,15,120,6281,1,6733,6000
2015,5197,718,557,5,200,2744,1,3662,3100
2016,9158,557,993,200,120,6466,1,7143,5950
2017,5412,993,386,100,150,3743,1,4886,4400
2018,7000,386,549,50,160,4953,1,5499,4900
2019,7000,549,294,5,200,4000,1,4749,4450
