Market_Year,Harvested_Area,Beginning_Stock,Ending_Stock,Export,Import,Production,Yield,Total_Supply,Consumption,import from us,price
1960,16,0,0,0,99,25,2,124,124,0,
1961,16,0,0,0,77,30,2,107,107,33,
1962,23,0,0,0,126,30,1,156,156,113,
1963,24,0,0,0,98,38,2,136,136,80,
1964,57,0,0,0,154,55,1,209,209,129,
1965,58,0,0,0,154,69,1,223,223,123,
1966,73,0,0,0,195,78,1,273,273,127,
1967,89,0,0,0,104,87,1,191,191,0,
1968,110,0,0,0,106,123,1,229,229,0,
1969,122,0,0,0,132,115,1,247,247,0,
1970,121,0,0,0,260,162,1,422,422,0,
1971,121,0,91,0,255,156,1,411,320,143,
1972,101,91,25,0,102,149,1,342,317,77,
1973,176,25,50,0,256,235,1,516,466,198,
1974,251,50,37,0,114,246,1,410,373,82,
1975,300,37,27,0,200,264,1,501,474,165,
1976,268,27,30,0,229,294,1,550,520,220,
1977,236,30,20,0,164,317,1,511,491,153,
1978,248,20,20,0,293,140,1,453,433,284,
1979,192,20,60,0,340,233,1,593,533,317,
1980,184,60,120,0,392,218,1,670,550,205,
1981,156,120,60,0,363,142,1,625,565,362,
1982,130,60,60,0,448,141,1,649,589,427,
1983,147,60,0,0,559,172,1,791,791,367,
1984,50,0,0,0,600,79,2,679,679,433,
1985,160,0,0,0,598,200,1,798,798,423,
1986,120,0,0,0,646,157,1,803,803,481,
1987,150,0,0,0,675,140,1,815,815,478,
1988,200,0,0,0,502,250,1,752,752,57,
1989,275,0,0,0,507,410,1,917,917,188,
1990,350,0,0,0,968,500,1,1468,1468,152,135.5225
1991,300,0,0,0,591,831,3,1422,1422,78,128.665
1992,300,0,0,0,205,875,3,1080,1080,0,151.2
1993,328,0,0,0,537,450,1,987,987,87,140.2383333
1994,357,0,0,0,500,475,1,975,975,49,149.7291667
1995,280,0,0,0,397,450,2,847,847,8,176.9825
1996,315,0,0,0,618,550,2,1168,1168,33,207.6
1997,330,0,0,0,534,650,2,1184,1184,0,159.4841667
1998,277,0,0,0,615,535,2,1150,1150,27,126.1190909
1999,140,0,0,0,792,170,1,962,962,47,113.1323077
2000,90,0,0,0,920,215,2,1135,1135,116,114.0875
2001,140,0,0,0,902,335,2,1237,1237,22,126.8083333
2002,100,0,0,0,860,250,2,1110,1110,49,222.6625463
2003,110,0,0,0,995,365,3,1360,1360,65,146.1441667
2004,170,0,150,50,1522,360,2,1882,1682,220,157.1536364
2005,180,150,200,150,1659,435,2,2244,1894,204,152.4684615
2006,175,200,100,50,1323,669,4,2192,2042,0,192.0433333
2007,284,100,50,50,1060,803,3,1963,1863,0,255.2066667
2008,302,50,200,100,1712,587,2,2349,2049,0,326.03
2009,400,200,200,100,1887,642,2,2729,2429,0,224.0683333
2010,225,200,50,0,1595,403,2,2198,2148,0,223.5825
2011,183,50,350,0,2360,324,2,2734,2384,0,316.265
2012,187,350,392,0,1793,324,2,2467,2075,0,313.2416667
2013,136,392,492,4,2664,265,2,3321,2825,0,312.2491667
2014,223,492,472,0,2632,473,2,3597,3125,0,284.885
2015,226,472,323,0,2022,779,3,3273,2950,0,204.45
2016,217,323,297,0,2458,516,2,3297,3000,51,166.6325
2017,168,297,290,0,2580,463,3,3340,3050,0,174.1958333
2018,200,290,207,0,2222,595,3,3107,2900,53,209.93
2019,200,207,307,0,2500,600,3,3307,3000,0,201.6925
